2021-02-08 10:11:47,148 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-02-08 10:11:47,269 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-02-08 10:11:47,271 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2021-02-08 10:11:47,273 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2021-02-08 10:11:47,323 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2021-02-08 10:11:47,324 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2021-02-08 10:11:47,671 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2021-02-08 15:05:14,497 INFO  SwAddin.cs: 271 - Assembly export called for file gluon_2L6_4L3.SLDASM
2021-02-08 15:05:18,636 INFO  SwAddin.cs: 290 - Saving assembly
2021-02-08 15:05:20,178 INFO  SwAddin.cs: 293 - Opening property manager
2021-02-08 15:05:20,217 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from gluon_2L6_4L3.SLDASM
2021-02-08 15:05:20,282 INFO  ExportHelperExtension.cs: 1142 - Found 48 in gluon_2L6_4L3.SLDASM
2021-02-08 15:05:20,285 INFO  ExportHelperExtension.cs: 1152 - Found 7 features of type [CoordSys] in gluon_2L6_4L3.SLDASM
2021-02-08 15:05:20,286 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2021-02-08 15:05:20,289 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2021-02-08 15:05:20,291 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 2L6-4L3.STEP-1
2021-02-08 15:05:20,293 INFO  ExportHelperExtension.cs: 1142 - Found 104 in 2L6-4L3.STEP-1
2021-02-08 15:05:20,296 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in 2L6-4L3.STEP-1
2021-02-08 15:05:20,299 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from gluon_2L6_4L3.SLDASM
2021-02-08 15:05:20,300 INFO  ExportHelperExtension.cs: 1142 - Found 48 in gluon_2L6_4L3.SLDASM
2021-02-08 15:05:20,301 INFO  ExportHelperExtension.cs: 1152 - Found 6 features of type [RefAxis] in gluon_2L6_4L3.SLDASM
2021-02-08 15:05:20,302 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2021-02-08 15:05:20,302 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
